c1_2_5

VEHICLE
NUMBER     CAPACITY
  50          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   PREMIUM
  169        105        110         20          529         672               90         0
  170        118        114         10           65         174               90         0
  171        135          6         30          109         255               90         0
  172        111         66         20          536         642               90         0
  173         95         77         10          237         365               90         0
  174        139         10         30          681         797               90         0
  175         61         54         10          219         372               90         0
  176         16         38         20          368         486               90         0
  177         16        138         10           86         171               90         0
  178         91         78         10           54         175               90         0
  179         91         71         20          806         912               90         0
  180          0         27         30          209         323               90         0
  181          6        113         20          682         807               90         0
  182        119        139         20          195         336               90         0
  183         35         99         20          931        1069               90         0
  184         31        112         20          396         486               90         0
  185          5        119         20          393         516               90         0
  186          3        135         20          407         517               90         0
  187         30        136         10          748         894               90         0
  188         20         39         10          830         939               90         0
  189        131         11         10          858         998               90         0
  190         28         33         20           55         162               90         0
  191          4         23         10          391         514               90         0
  192         87        108         20          269         356               90         0
  193         21         26         20          286         389               90         0
  194        121        134         20          477         606               90         0
  195        119        130         20          686         770               90         0
  196         91        108         10          347         467               90         0
  197        130         27         30          203         306               90         0
  198        101        107         10         1023        1105               90         0
  199         34        108         10          473         599               90         0
  200        131         31         20          567         694               90         0
