c1_2_3

VEHICLE
NUMBER     CAPACITY
  50          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   PREMIUM
  165         19         39         10          764         823               90         0
  166         27         77         10            0        1218               90         0
  167         30         24         20            0        1201               90         0
  168        126        112         10          507         543               90         0
  169        105        110         20            0        1208               90         0
  170        118        114         10           65         126               90         0
  171        135          6         30            0        1170               90         0
  172        111         66         20            0        1220               90         0
  173         95         77         10          278         325               90         0
  174        139         10         30          723         756               90         0
  175         61         54         10            0        1243               90         0
  176         16         38         20          387         466               90         0
  177         16        138         10           86         142               90         0
  178         91         78         10           88         141               90         0
  179         91         71         20            0        1240               90         0
  180          0         27         30          241         292               90         0
  181          6        113         20            0        1184               90         0
  182        119        139         20          234         298               90         0
  183         35         99         20          976        1025               90         0
  184         31        112         20          401         481               90         0
  185          5        119         20            0        1180               90         0
  186          3        135         20            0        1168               90         0
  187         30        136         10            0        1184               90         0
  188         20         39         10            0        1203               90         0
  189        131         11         10            0        1177               90         0
  190         28         33         20            0        1206               90         0
  191          4         23         10            0        1180               90         0
  192         87        108         20          275         350               90         0
  193         21         26         20            0        1196               90         0
  194        121        134         20          517         567               90         0
  195        119        130         20            0        1184               90         0
  196         91        108         10            0        1218               90         0
  197        130         27         30          229         280               90         0
  198        101        107         10         1038        1090               90         0
  199         34        108         10            0        1209               90         0
  200        131         31         20            0        1189               90         0
